Unnamed: 0,Name,Description,NFT,Rank,Users(24h),Dev Activity(30d),Volume
81,mstable,mStable combines lending income with trading fees to produce higher yielding assets.,DeFi,110,20.00%,52-14.75%,0 ETH0 USD-
82,token-bulksender,"This DAPP is used to send token or ETH to many addresses in one transaction, that can help you to save much more TX fee. Just upload Excel/CSV/TXT file with addresses and balances that you want to send. Select a token and sent thousands of addresses out in 1 minute.",Finance,111,31+14.81%,--,"13 ETH45,051 USD-11.26%"
83,deversifi,"DeversiFi gives traders the edge in fast-moving decentralised finance (DeFi) markets by allowing them to trade at lightning speed and with deep aggregated liquidity, directly from their privately owned cryptocurrency wallet.",Exchanges,112,47+80.77%,263-64.22%,0 ETH0 USD-
84,cryptobots,CryptoBots is a blockchain-based game to find out whose bot army is the best!,Games,114,6-25.00%,41-81.94%,"80 ETH268,053 USD-83.48%"
85,riot-racers,"Riot Racers is a play-to-earn car racing game where players own parts of the game, and can earn by playing or owning parts of the game. All ownable parts of the game are in the form of verifiably owned NFTs, including: Cars, Gas Stations, Mechanic Shops, Racetrack Land, and Billboard Land. The currency of the game is the RIOT Token. Players buy cars and can level them up with upgrades like better engines and tires. To race, players first buy gas at a Gas Station. The total of all the gas bought per race makes up the reward pool. 1st place wins 50% of the reward pool, 2nd and 3rd place split the other half, getting paid out in RIOT Tokens. When entering a race, players are presented with Race Conditions. Players select from several options to make up their Race Strategy. The race then happens in the background. Results of the race are determined primarily by each racer's strategy, and secondarily by a weighted random algorithm. Cars with higher XP and upgrades also have an advantage.",NFT,115,239-32.29%,--,"28 ETH95,572 USD-"
86,golem,"Golem is a global, open source, decentralized supercomputer that anyone can access. It is made up of the combined power of users’ machines, from PCs to entire data centres. Golem is capable of computing a wide variety of tasks, from CGI rendering, through machine learning to scientific computing. Golem’s limitations are only defined by our developer community’s creativity. Golem creates a decentralized sharing economy of computing power and supplies software developers with a flexible, reliable and cheap source of computing power.",Development,117,3+50.00%,--,0 ETH168 USD-
87,ethos,"Harnessing the power of design, technology and social intelligence, Ethos proposes a universal wallet & fiat gateway designed to make buying, trading, and managing your crypto assets consumer-friendly.",Wallet,119,8-33.33%,0-100.00%,0 ETH0 USD-
88,mysteriumvpn,"Free to download, decentralized VPN. Available for Android, Windows, Mac, and Linux. Pay-as-you-go - Switch on and off whenever you need, and only pay for what you use. No sign-up - No contracts, no locked-in costs, no subscriptions. Pay with crypto - Don’t want to involve credit cards, banks or cash? Use crypto like Bitcoin, Ether, and Litecoin to be truly untraceable and censorship-resistant. No logging - Our completely decentralized infrastructure means no central servers are run by businesses. As a result, it’s technologically impossible to store logs of user traffic or browsing. Open source - Mysterium VPN uses both OpenVPN and WireGuard®️ protocols. Our code has been open-source since day one, so you can verify our level of encryption (and no logs claim). Mysterium is a Swiss-based, open-source project founded in 2017. Mysterium is building an ecosystem of censorship-resistant tools and web infrastructure, to make the internet borderless and accessible for all.",Security,120,25+257.14%,0-,0 ETH0 USD-
89,morpher-dex,"Morpher DEX allows you to trade over 700 stocks, commodities, currencies, and other crypto. Go long or short any market with up to 10x leverage, perfect liquidity and no commissions. Morpher DEX is available directly on the Ethereum mainnet and uses its native ERC-20 token (MPH) for settling all trades.",Exchanges,121,0-100.00%,866-36.23%,0 ETH0 USD-
90,vether,"Vether is an asset with properties of strict scarcity, unforgeable costliness, and a fixed emission schedule. Vether participants compete to purchase it by destroying capital on-chain. As a result, all units of Vether are acquired at-cost and by anyone. This mechanism is called Proof-of-Value.",DeFi,122,3+200.00%,349-56.59%,"1 ETH4,280 USD-33.18%"
91,quantstamp-security-network,Reentrancy bugs are easy to miss. Have confidence in your code and integrate security checks as part of your development workflow with the newly launched Quantstamp Security Network V2. Quantstamp Security Network V2 features decentralized design. It uses Mythril and Securify analyzers to scan for a wide variety of smart contract vulnerabilities. Reports are directly stored on the blockchain for transparency.,Security,123,13+85.71%,1-90.00%,0 ETH0 USD-
92,0xbitcoin,"0xBitcoin is the first mineable ERC20 token on Ethereum. Using an SHA3 mining algorithm and on-chain Proof of Work. 0xBitcoin essentially mimics the fundamental properties of Bitcoin (BTC). 0xBTC has a 21 million hard cap and regular, automatic difficulty adjustments. 0xBitcoin had no premine or ICO, and is entirely community run and managed. The token's smart contract is immutable, so no alterations to the distribution code can be made.",Finance,125,51-12.07%,70-32.04%,"9,338 ETH31,392,638 USD-12.99%"
93,cryptopunks,"10,000 unique collectible characters with proof of ownership stored on the Ethereum blockchain. The project that inspired the modern CryptoArt movement. Featured in Mashable, The Financial Times, The Paris Review, Salon, The Outline, BreakerMag, Christie's of London, Art|Basel and The New York Times. Currently showing at the ZKM Center for Art and Media in Karlsruhe, Germany as part of the Open Codes Exhibition. The first ""Non-Fungible Token,"" and inspiration for the Ethereum ERC-721 standard that powers most digital art and collectibles.",Marketplaces,126,180.00%,23-17.86%,0 ETH0 USD-
94,x-cloud,X Cloud is a more secure and affordable alternative to Dropbox or iCloud. Decentralization meets ease of use through Internxt's X Cloud.,Storage,129,4-20.00%,856+13.98%,0 ETH0 USD-
95,datamine,A new non-custodial and decentralized open source economic system that uses smart contracts to create Adaptive Money.,DeFi,133,15+200.00%,--,"0 ETH1,404 USD-"
96,crypteriors,"Crypteriors is the largest collaborative NFT project made by certified artists from Eastern Europe. 3333 digital collectibles on the Ethereum blockchain. We created unique portraits of characters in their homes, their intimate private spaces. They are represented as symbolic protagonists hovering over direct reality - their dreams, visions, and life strategies have been rendered visible through symbols. The centre of attention is the social rather than the individual. That’s why there are no people in the pictures, which are like stills from webcams accidentally left running. We intend to stress the absurdity of commoditizing privacy, of the intrusion of public space into private space, of the dismantling of the last remaining private cells of freedom.",NFT,135,1-,--,0 ETH0 USD-
97,ink-protocol,"Ink can be integrated into new or existing marketplaces and can also be used in marketplaces that don't directly handle payments (eg, Craigslist and Facebook Marketplace). For sellers, accepting Ink builds up their public reputation, which allows them to start selling quickly on new marketplaces without needing to build reputation from scratch. Buyers can view any seller's reputation across multiple marketplaces and confidently pay using either automated or human-mediated escrow contracts. Payments can be made and received natively using the Ink Protocol Token (XNK) or converted easily to and from fiat currencies like USD.",Marketplaces,137,160.00%,4+100.00%,"44 ETH147,154 USD-6.05%"
98,voltswap,"With the help of Meter’s infrastructure, VoltSwap introduced several unique features that are not yet available on current first or second-layer swap solutions. VoltSwap not only allows for lightning-fast transactions with low gas fees but is also fully decentralized and front-running resistant. Since Meter Passport connects to multiple blockchains starting with the Binance Smart Chain, Ethereum and Moonriver, VoltSwap provides the capability for swapping assets from different chains to facilitate cross-chain arbitrage and onboarding exchange decentralized finance chains without Know Your Customer restrictions. VoltSwap is a community-driven project and the first DEX on the Meter blockchain. To provide the best security and highest yield in DeFi yield farming, VoltSwap created a nonfungible token contract-based smart wallet for each user, where they can subscribe to as many liquidity mining programs as they want without the tokens ever leaving their wallets.",Yield-farming,138,17-29.17%,0-,0 ETH0 USD-
99,minereum-v2,"Minereum V2 Dapp allows you to: Verify the Minereum ecosystem information in the Stats Page Transfer your MNE, Genesis Addresses and Stakes Upgrade your Genesis Addresses Decentralized Trading of Genesis Addresses Decentralized Trading of Stakes Decentralized Trading of MNE Creation of ERC20 Tokens",Finance,138,25+47.06%,654+52.80%,0 ETH0 USD-
